Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request1,7000,25487,0,68625,24518.44,32.486%,84.28657,65.61,7.22,797.1
TOTAL,7000,25487,0,68625,24518.44,32.486%,84.28657,65.61,7.22,797.1
