Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request1,30,71,63,94,7.65,0.000%,29.38296,6.89,3.73,240.0
TOTAL,30,71,63,94,7.65,0.000%,29.38296,6.89,3.73,240.0
