Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request1,5,71,69,80,4.17,0.000%,5.74713,1.35,0.73,240.0
TOTAL,5,71,69,80,4.17,0.000%,5.74713,1.35,0.73,240.0
