Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request1,100,443,74,837,212.84,0.000%,55.92841,13.11,7.10,240.0
TOTAL,100,443,74,837,212.84,0.000%,55.92841,13.11,7.10,240.0
