Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request1,10000,18059,0,67717,23516.01,51.830%,119.11710,131.32,7.28,1128.9
TOTAL,10000,18059,0,67717,23516.01,51.830%,119.11710,131.32,7.28,1128.9
