Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request1,300,2211,97,4276,1184.51,0.000%,57.78120,13.54,7.34,240.0
TOTAL,300,2211,97,4276,1184.51,0.000%,57.78120,13.54,7.34,240.0
