Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request1,3000,23579,110,46741,13426.96,0.000%,53.73070,12.59,6.82,240.0
TOTAL,3000,23579,110,46741,13426.96,0.000%,53.73070,12.59,6.82,240.0
