Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request1,1,70,70,70,0.00,0.000%,14.28571,3.35,1.81,240.0
TOTAL,1,70,70,70,0.00,0.000%,14.28571,3.35,1.81,240.0
