Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request1,700,5300,90,10553,2907.61,0.000%,56.06279,13.14,7.12,240.0
TOTAL,700,5300,90,10553,2907.61,0.000%,56.06279,13.14,7.12,240.0
