Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,7000,34916,0,67609,20732.53,3.371%,59.72696,18.67,7.55,320.0
TOTAL,7000,34916,0,67609,20732.53,3.371%,59.72696,18.67,7.55,320.0
