Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,1000,7578,150,13795,3968.93,0.000%,50.09769,12.87,6.56,263.0
TOTAL,1000,7578,150,13795,3968.93,0.000%,50.09769,12.87,6.56,263.0
