Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,10000,33623,0,68438,25966.53,20.150%,72.15476,42.56,7.54,603.9
TOTAL,10000,33623,0,68438,25966.53,20.150%,72.15476,42.56,7.54,603.9
