Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,30,42,34,51,5.03,0.000%,29.94012,7.69,3.92,263.0
TOTAL,30,42,34,51,5.03,0.000%,29.94012,7.69,3.92,263.0
