Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request1,700,11635,196,23257,6513.62,0.000%,26.42706,6.19,3.35,240.0
TOTAL,700,11635,196,23257,6513.62,0.000%,26.42706,6.19,3.35,240.0
