Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request1,5,132,131,134,1.17,0.000%,5.36481,1.26,0.68,240.0
TOTAL,5,132,131,134,1.17,0.000%,5.36481,1.26,0.68,240.0
