Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request1,300,5250,203,10300,2891.17,0.000%,25.94707,6.08,3.29,240.0
TOTAL,300,5250,203,10300,2891.17,0.000%,25.94707,6.08,3.29,240.0
