Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request1,100,1434,167,2803,760.35,0.000%,26.32272,6.17,3.34,240.0
TOTAL,100,1434,167,2803,760.35,0.000%,26.32272,6.17,3.34,240.0
