Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,5,46,42,52,4.15,0.000%,5.86166,1.51,0.77,263.0
TOTAL,5,46,42,52,4.15,0.000%,5.86166,1.51,0.77,263.0
