Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,100,639,67,1095,270.29,0.000%,50.00000,12.84,6.54,263.0
TOTAL,100,639,67,1095,270.29,0.000%,50.00000,12.84,6.54,263.0
