Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,300,2784,108,4704,1354.68,0.000%,48.78842,12.53,6.38,263.0
TOTAL,300,2784,108,4704,1354.68,0.000%,48.78842,12.53,6.38,263.0
