Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,1,41,41,41,0.00,0.000%,24.39024,6.26,3.19,263.0
TOTAL,1,41,41,41,0.00,0.000%,24.39024,6.26,3.19,263.0
