Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,3000,19912,148,36054,10027.98,0.000%,55.06002,14.14,7.21,263.0
TOTAL,3000,19912,148,36054,10027.98,0.000%,55.06002,14.14,7.21,263.0
