Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request1,600,107682,4,120034,28900.05,79.500%,2.49065,5.05,0.07,2078.3
TOTAL,600,107682,4,120034,28900.05,79.500%,2.49065,5.05,0.07,2078.3
