Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,200,2460,141,3785,966.90,0.000%,27.17391,42.30,3.61,1594.0
TOTAL,200,2460,141,3785,966.90,0.000%,27.17391,42.30,3.61,1594.0
