Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,600,7501,220,10903,3078.48,0.000%,28.05311,43.67,3.73,1594.0
TOTAL,600,7501,220,10903,3078.48,0.000%,28.05311,43.67,3.73,1594.0
